Origin;Destination;Number
Arkhangelskaya;Akmolinskaya;42
Astrakhanskaya;Akmolinskaya;590
Bessarabskaya;Akmolinskaya;232
Vilenskaya;Akmolinskaya;225
Vitebskaya;Akmolinskaya;923
Vladimirskaya;Akmolinskaya;733
Vologodskaya;Akmolinskaya;318
Volhynskaya;Akmolinskaya;368
Voronezhskaya;Akmolinskaya;5027
Viatskaya;Akmolinskaya;1849
Grodnenskaya;Akmolinskaya;255
VojskaDonskogo;Akmolinskaya;2458
Ekaterinoslavskaya;Akmolinskaya;992
Kazanskaya;Akmolinskaya;2431
Kalugskaya;Akmolinskaya;336
Kievskaya;Akmolinskaya;1305
Kovenskaya;Akmolinskaya;303
Kostromskaya;Akmolinskaya;258
Kurlandskaya;Akmolinskaya;116
Kurskaya;Akmolinskaya;2153
Liflyandskaya;Akmolinskaya;341
Minskaya;Akmolinskaya;171
Mogilevskaya;Akmolinskaya;350
Moscowskaya;Akmolinskaya;329
Nizhegorodskaya;Akmolinskaya;616
Novgorodskaya;Akmolinskaya;110
Olonetskaya;Akmolinskaya;39
Orenburgskaya;Akmolinskaya;3874
Orlovskaya;Akmolinskaya;3357
Penzenskaya;Akmolinskaya;5326
Permskaya;Akmolinskaya;8744
Podolskaya;Akmolinskaya;689
Poltavskaya;Akmolinskaya;21763
Pskovskaya;Akmolinskaya;242
Ryazanskaya;Akmolinskaya;1054
Samaraskaya;Akmolinskaya;19184
StPetersburgskaya;Akmolinskaya;415
Saratovskaya;Akmolinskaya;6515
Simbirskaya;Akmolinskaya;1426
Smolenskaya;Akmolinskaya;532
Tauridskaya;Akmolinskaya;458
Tambovskaya;Akmolinskaya;1934
Tverskaya;Akmolinskaya;171
Tulskaya;Akmolinskaya;926
Ufimskaya;Akmolinskaya;1982
Kharkovskaya;Akmolinskaya;3529
Khersonskaya;Akmolinskaya;793
Chernigovskaya;Akmolinskaya;10666
Estonskaya;Akmolinskaya;78
Yaroslavskaya;Akmolinskaya;66
Warsawskaya;Akmolinskaya;153
Kaliszskaya;Akmolinskaya;33
Kieleckaya;Akmolinskaya;22
Lomzinskaya;Akmolinskaya;62
Lublinskaya;Akmolinskaya;44
Piotrkovskaya;Akmolinskaya;23
Plockaya;Akmolinskaya;36
Radomskaya;Akmolinskaya;37
Suwalkskaya;Akmolinskaya;26
Siedlcskaya;Akmolinskaya;88
Bakinskaya;Akmolinskaya;14
Dagestanskaya;Akmolinskaya;25
Elisabethpolskaya;Akmolinskaya;15
Karsskaya;Akmolinskaya;15
